"Address",
"1  E  CONGRESS  ST    TUCSON,  AZ  85701",
"1  E  CORONA  RD    TUCSON,  AZ  85756",
"1  E  DELTA  RD    TUCSON,  AZ  85706",
"1  E  DESERT SKY  RD    TUCSON,  AZ  85737",
"1  E  ELVADO  RD    TUCSON,  AZ  85756",
"1  E  INEZ  ST    TUCSON,  AZ  85756",
"1  E  JACINTO  ST    TUCSON,  AZ  85705",
"1  E  LA ESPINA     GREEN VALLEY,  AZ  85614",
"1  E  LAGUNA  ST    TUCSON,  AZ  85705",
"1  E  LOS REALES  RD    TUCSON,  AZ  85756",
"1  E  NAVAJO  RD    TUCSON,  AZ  85705",
"1  E  PASTIME  RD    TUCSON,  AZ  85705",
"1  E  SANTA BELIA     GREEN VALLEY,  AZ  85614",
"1  E  SANTA REBECCA  DR    GREEN VALLEY,  AZ  85614",
"1  E  SUSANA  ST    TUCSON,  AZ  85756",
"1  E  TOOLE  AV    TUCSON,  AZ  85701",
"1  N  5TH  AV    TUCSON,  AZ  85701",
"1  N  ATRISCO  DR    VAIL,  AZ  85641",
"1  N  FREEWAY     TUCSON,  AZ  85745",
"1  N  LARKIN  DR    VAIL,  AZ  85641",
"1  N  MONTEGO  DR    TUCSON,  AZ  85710",
"1  N  PASEO SAN PEDRO     TUCSON,  AZ  85710",
"1  N  ROSEDALE  AV    AJO,  AZ  85321",
"1  N  SHARON  RD    VAIL,  AZ  85641",
"1  N  TREAT  AV    TUCSON,  AZ  85716",
"1  N  TUCSON  TE    TUCSON,  AZ  85745",
"1  S  ANTIETAM  PL    TUCSON,  AZ  85710",
"1  W  WILLIAM CAREY  ST    VAIL,  AZ  85641",
"1  E  NAVAJO  RD   1  TUCSON,  AZ  85705",
"1  E  NAVAJO  RD   10  TUCSON,  AZ  85705",
"1  S  CHURCH  AV   1000  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   101  TUCSON,  AZ  85701",
"1  W  WETMORE  RD   101  TUCSON,  AZ  85705",
"1  S  CHURCH  AV   1010  TUCSON,  AZ  85701",
"1  N  5TH  AV   105  TUCSON,  AZ  85701",
"1  N  5TH  AV   107  TUCSON,  AZ  85701",
"1  N  5TH  AV   109  TUCSON,  AZ  85701",
"1  E  NAVAJO  RD   11  TUCSON,  AZ  85705",
"1  S  CHURCH  AV   1100  TUCSON,  AZ  85701",
"1  N  5TH  AV   111  TUCSON,  AZ  85701",
"1  N  5TH  AV   113  TUCSON,  AZ  85701",
"1  N  5TH  AV   115  TUCSON,  AZ  85701",
"1  E  NAVAJO  RD   12  TUCSON,  AZ  85705",
"1  S  CHURCH  AV   1200  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   1260  TUCSON,  AZ  85701",
"1  E  NAVAJO  RD   13  TUCSON,  AZ  85705",
"1  E  NAVAJO  RD   14  TUCSON,  AZ  85705",
"1  E  NAVAJO  RD   15  TUCSON,  AZ  85705",
"1  S  CHURCH  AV   1500  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   1640  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   1700  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   1900  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   1950  TUCSON,  AZ  85701",
"1  E  NAVAJO  RD   2  TUCSON,  AZ  85705",
"1  N  5TH  AV   200  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   2000  TUCSON,  AZ  85701",
"1  N  5TH  AV   201  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   201  TUCSON,  AZ  85701",
"1  S  CHURCH  AV   2015  TUCSON,  AZ  85701",
