"Date","Record Number","Record Type","Project Name","Status","Short Notes",
"12/31/2018","P18BP09021","Building Permit","Single Family Residence New","Issued",,
"12/31/2018","P18BP09020","Building Permit","Single Family Residence New","Deficient",,
"12/31/2018","P18BP09018","Building Permit","Single Family Residence New","Issued",,
"12/31/2018","P18BP09017","Building Permit","Single Family Residence Addition","Deficient",,
"12/31/2018","P18BP09016","Building Permit","Single Family Residence Addition","Approved",,
"12/31/2018","P18BP09013","Building Permit","Single Family Residence Addition","Issued",,
"12/31/2018","P18BP09012","Building Permit","Single Family Residence Addition","Deficient",,
"12/31/2018","P18BP09011","Building Permit","Single Family Residence Addition","Request for Corrections",,
"12/31/2018","P18BP09010","Building Permit","Single Family Residence New","Issued",,
"12/31/2018","P18BP09009","Building Permit","Single Family Residence Addition","Approved",,
"12/31/2018","P18BP09008","Building Permit","Single Family Residence New","Issued",,
"12/31/2018","P18BP09007","Building Permit","Single Family Residence New","Issued",,
"12/31/2018","P18BP08998","Building Permit","Single Family Residence Alteration","Issued",,
"12/31/2018","P18BP08997","Building Permit","Commercial Building Addition","Issued",,
"12/31/2018","P18BP08996","Building Permit","Single Family Residence New","Deficient",,
"12/31/2018","P18BP08994","Building Permit","Single Family Residence Addition","Approved",,
"12/28/2018","P18BP08989","Building Permit","Single Family Residence Addition","Request for Corrections",,
"12/28/2018","P18BP08988","Building Permit","Single Family Residence Alteration","Final",,
"12/28/2018","P18BP08987","Building Permit","Commercial Building Other","Approved",,
"12/28/2018","P18BP08986","Building Permit","Single Family Residence Addition","Issued",,
"12/28/2018","P18BP08981","Building Permit","Tenant Improvement","C of O",,
"12/28/2018","P18BP08978","Building Permit","Single Family Residence New","Issued",,
"12/28/2018","P18BP08976","Building Permit","Single Family Residence Alteration","Final",,
"12/28/2018","P18BP08974","Building Permit","Single Family Residence Alteration","Issued",,
"12/28/2018","P18BP08973","Building Permit","Single Family Residence New","Issued",,
"12/28/2018","P18BP08972","Building Permit","Single Family Residence New","Issued",,
"12/28/2018","P18BP08971","Building Permit","Single Family Residence New","Deficient",,
"12/28/2018","P18BP08970","Building Permit","Tenant Improvement","Issued",,
"12/28/2018","P18BP08969","Building Permit","Single Family Residence Addition","Approved",,
"12/28/2018","P18BP08968","Building Permit","Commercial Building Addition","Request for Corrections",,
"12/28/2018","P18BP08967","Building Permit","Single Family Residence Addition","Issued",,
"12/28/2018","P18BP08963","Building Permit","Single Family Residence Addition","Approved",,
"12/28/2018","P18BP08962","Building Permit","Commercial Building Other","Void",,
"12/28/2018","P18BP08961","Building Permit","Single Family Residence New","Approved",,
"12/27/2018","P18BP08959","Building Permit","Commercial Building Other","Request for Corrections",,
"12/27/2018","P18BP08958","Building Permit","Commercial Building Addition","Request for Corrections",,
"12/27/2018","P18BP08956","Building Permit","Commercial Building Addition","Request for Corrections",,
"12/27/2018","P18BP08955","Building Permit","Commercial Building Addition","Request for Corrections",,
"12/27/2018","P18BP08953","Building Permit","Commercial Building Addition","Request for Corrections",,
"12/27/2018","P18BP08951","Building Permit","Single Family Residence Addition","Issued",,
"12/27/2018","P18BP08950","Building Permit","Commercial Building Addition","Void",,
"12/27/2018","P18BP08945","Building Permit","Tenant Improvement","Request for Corrections",,
"12/27/2018","P18BP08937","Building Permit","Single Family Residence New","Issued",,
"12/27/2018","P18BP08934","Building Permit","Single Family Residence Addition","Approved",,
"12/27/2018","P18BP08932","Building Permit","Single Family Residence Addition","Issued",,
"12/27/2018","P18BP08929","Building Permit","Single Family Residence New","Request for Corrections",,
"12/27/2018","P18BP08927","Building Permit","Single Family Residence Alteration","Issued",,
"12/26/2018","P18BP08919","Building Permit","Single Family Residence Alteration","Issued",,
"12/26/2018","P18BP08918","Building Permit","Commercial Building Addition","Final",,
"12/26/2018","P18BP08914","Building Permit","Single Family Residence Alteration","Final",,
"12/26/2018","P18BP08911","Building Permit","Single Family Residence Alteration","Issued",,
"12/26/2018","P18BP08910","Building Permit","Single Family Residence Alteration","Final",,
"12/26/2018","P18BP08909","Building Permit","Single Family Residence Alteration","Final",,
"12/26/2018","P18BP08908","Building Permit","Single Family Residence Alteration","Final",,
"12/26/2018","P18BP08903","Building Permit","Single Family Residence Addition","Final",,
"12/21/2018","P18BP08898","Building Permit","Commercial Building Alteration","Issued",,
"12/21/2018","P18BP08896","Building Permit","Single Family Residence Addition","Issued",,
"12/21/2018","P18BP08894","Building Permit","Single Family Residence New","Approved",,
"12/21/2018","P18BP08893","Building Permit","Tenant Improvement","Issued",,
"12/21/2018","P18BP08892","Building Permit","Single Family Residence New","Approved",,
"12/21/2018","P18BP08891","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08890","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08888","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08887","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08886","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08885","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08884","Building Permit","Single Family Residence New","Request for Corrections",,
"12/21/2018","P18BP08883","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08881","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08880","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08879","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08878","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08876","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08874","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08873","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08872","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08869","Building Permit","Commercial Building Addition","In Review",,
"12/21/2018","P18BP08868","Building Permit","Single Family Residence Alteration","Final",,
"12/21/2018","P18BP08867","Building Permit","Commercial Building New","Void",,
"12/21/2018","P18BP08866","Building Permit","Single Family Residence Alteration","Final",,
"12/21/2018","P18BP08864","Building Permit","Single Family Residence Addition","Final",,
"12/21/2018","P18BP08863","Building Permit","Commercial Building Alteration","Request for Corrections",,
"12/21/2018","P18BP08862","Building Permit","Commercial Building Alteration","Request for Corrections",,
"12/21/2018","P18BP08860","Building Permit","Tenant Improvement","C of O",,
"12/21/2018","P18BP08859","Building Permit","Commercial Building Alteration","Request for Corrections",,
