"Parcel","SequenceNum","SaleDate","SalePrice","PropertyType","IntendedUse","Deed","Financing","ValidationDescription","BuyerSellerRelated","Solar","PersonalProperty","PartialInterest","RecordingDate"
134241020,20140020063,201401,90000,Single Family,PrimaryRes,Warranty Deed,Other,Sale to or from a government agency,No,No,No,No,2014-01-02
304212920,20140020170,201401,10,Condo/Townhouse,NonPrimary,Quit Claim Deed,Cash,Buyer/Seller are related parties or corporate entities,Yes,No,No,No,2014-01-02
304213130,20140020171,201401,10,Condo/Townhouse,NonPrimary,Quit Claim Deed,Cash,Buyer/Seller are related parties or corporate entities,Yes,No,No,No,2014-01-02
128104490,20140020203,201401,75000,Condo/Townhouse,Rental,Warranty Deed,Cash,Good Sale,No,No,No,No,2014-01-02
301200320,20140020214,201401,95000,Mobile Home,PrimaryRes,Joint Tenancy Deed,Other,Good Sale,No,No,No,No,2014-01-02
127081740,20140020231,201401,130000,Single Family,NonPrimary,Warranty Deed,Other,Good Sale,No,No,No,No,2014-01-02
118262100,20140020242,201401,313000,Commercial/Industrial,Unknown,Warranty Deed,Cash,Good Sale,No,No,No,No,2014-01-02
30529141A,20140020323,201401,12500,Vacant Land,Unknown,Warranty Deed,Cash,Good Sale,No,No,No,No,2014-01-02
304654940,20140020367,201401,172000,Condo/Townhouse,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2014-01-02
114055230,20140030078,201401,925000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2014-01-03
221095970,20140030080,201401,155000,Single Family,PrimaryRes,Warranty Deed,Cash,Good Sale,No,No,No,No,2014-01-03
218406330,20140030090,201401,180000,Vacant Land,Unknown,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2014-01-03
128060420,20140030275,201401,80000,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2014-01-03
133085180,20140030321,201401,28500,Condo/Townhouse,NonPrimary,Warranty Deed,Cash,Sale under duress,No,No,No,No,2014-01-03
141013660,20140030341,201401,220000,Single Family,NonPrimary,Warranty Deed,Cash,Good Sale,No,No,No,No,2014-01-03
131131130,20140030443,201401,73900,Single Family,Rental,Warranty Deed,Cash,Sale to or from a government agency,No,No,No,No,2014-01-03
11602313A,20140030506,201401,69000,Condo/Townhouse,NonPrimary,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2014-01-03
225401160,20140030538,201401,139750,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2014-01-03
103215680,20140060002,201401,10,Single Family,PrimaryRes,Warranty Deed,Cash,Buyer/Seller are related parties or corporate entities,Yes,No,No,No,2014-01-06
133443070,20140060276,201401,212500,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2014-01-06
30310423A,20140060299,201401,35000,Mobile Home,Unknown,Warranty Deed,Other,Sale under duress,No,No,No,No,2014-01-06
304215490,20140060305,201401,44000,Condo/Townhouse,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2014-01-06
219220380,20140060370,201401,0,Single Family,NonPrimary,Warranty Deed,Other,Sale price missing,No,No,No,No,2014-01-06
219220380,20140060371,201401,274500,Single Family,PrimaryRes,Warranty Deed,Other,Good Sale,No,No,No,No,2014-01-06
304769120,20140060449,201401,87000,Vacant Land,Unknown,Warranty Deed,Cash,Good Sale,No,No,No,No,2014-01-06
304769280,20140060449,201401,87000,Vacant Land,Unknown,Warranty Deed,Cash,Good Sale,No,No,No,No,2014-01-06
134240520,20140070042,201401,99900,Single Family,NonPrimary,Warranty Deed,Cash,Sale to or from a government agency,No,No,No,No,2014-01-07
130051030,20140070043,201401,45055,Single Family,Rental,Warranty Deed,Other,Sale to or from a government agency,No,No,No,No,2014-01-07
138043640,20140070084,201401,85000,Single Family,PrimaryRes,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2014-01-07
