"Parcel","SequenceNum","SaleDate","SalePrice","PropertyType","IntendedUse","Deed","Financing","ValidationDescription","BuyerSellerRelated","Solar","PersonalProperty","PartialInterest","RecordingDate"
401554500,20170900146,201703,70000,Single Family,PrimaryRes,Joint Tenancy Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2017-03-31
401554420,20171360348,201705,89500,Single Family,PrimaryRes,Joint Tenancy Deed,Other,Good Sale,No,No,No,No,2017-05-16
401554020,20173480393,201712,27500,Single Family,Rental,Joint Tenancy Deed,Cash,Sale under duress,No,No,No,No,2017-12-14
401553950,20170400113,201702,39000,Single Family,NonPrimary,Warranty Deed,Other,Suspicious Sale,No,No,No,No,2017-02-09
401553940,20171040107,201704,44000,Single Family,PrimaryRes,Warranty Deed,Cash,Suspicious Sale,No,No,No,No,2017-04-14
401553830,20170670057,201702,66000,Single Family,PrimaryRes,Warranty Deed,Cash,Good Sale,No,No,No,No,2017-03-08
401553750,20170670348,201703,60075,Single Family,PrimaryRes,Warranty Deed,Cash,Sale under duress,No,No,No,No,2017-03-08
401553690,20171290229,201704,86000,Single Family,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2017-05-09
401553000,20171860372,201704,155000,Single Family,NonPrimary,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2017-07-05
401552850,20171650787,201703,75000,Single Family,PrimaryRes,Warranty Deed,Other,Sale involves exchange or trade,No,No,No,Yes,2017-06-14
40155278A,20173620708,201711,125000,Single Family,NonPrimary,Warranty Deed,Other,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2017-12-28
401552680,20170760410,201703,66000,Single Family,NonPrimary,Warranty Deed,Cash,Buyer/Seller has an Out-Of-State Address,No,No,No,No,2017-03-17
401552380,20170800336,201703,17500,Single Family,NonPrimary,Warranty Deed,Cash,Sale under duress,No,No,No,No,2017-03-21
401552220,20172850320,201710,44500,Single Family,NonPrimary,Warranty Deed,Cash,Property type/use code are not consistent,No,No,No,No,2017-10-12
401552180,20171950025,201707,77000,Single Family,PrimaryRes,Warranty Deed,Cash,Good Sale,No,No,No,No,2017-07-14
401551820,20173560007,201712,49900,Single Family,PrimaryRes,Warranty Deed,Other,Sale to or from a government agency,No,No,No,No,2017-12-22
