,0
0,8
1,5
2,1
3,4
4,0
5,8
6,0
7,0
8,9
9,1
10,7
11,9
12,3
13,5
14,5
15,7
16,3
17,3
18,2
19,8
20,3
21,6
22,2
23,2
24,5
25,3
26,8
27,8
28,5
29,6
30,2
31,4
32,3
33,5
34,9
35,7
36,2
37,1
38,1
39,7
40,7
41,8
42,7
43,5
44,2
45,3
46,0
47,2
48,8
49,4
50,4
51,8
52,6
53,1
54,0
55,7
56,9
57,3
58,9
59,7
60,0
61,4
62,0
63,9
64,0
65,4
66,5
67,4
68,7
69,5
70,2
71,7
72,5
73,7
74,6
75,5
76,9
77,0
78,8
79,2
80,5
81,4
82,1
83,6
84,7
85,3
86,7
87,2
88,0
89,9
90,1
91,3
92,9
93,4
94,3
95,7
96,7
97,6
98,1
99,7
100,0
101,0
102,2
103,9
104,0
105,1
106,1
107,1
108,3
109,4
110,3
111,9
112,5
113,8
114,7
115,9
116,9
117,8
118,5
119,5
120,6
121,7
122,9
123,9
124,9
125,4
126,2
127,9
128,6
129,6
130,2
131,7
132,4
133,8
134,3
135,8
136,7
137,2
138,9
139,5
140,2
141,0
142,6
143,4
144,6
145,7
146,8
147,4
148,5
149,1
150,4
151,1
152,7
153,6
154,4
155,1
156,3
157,7
158,9
159,5
160,8
161,8
162,0
163,4
164,7
165,6
166,6
167,3
168,8
169,2
170,6
171,6
172,4
173,7
174,2
175,8
176,8
177,0
178,9
179,7
180,9
181,3
182,8
183,7
184,0
185,7
186,0
187,8
188,1
189,3
190,9
191,3
192,7
193,3
194,9
195,7
196,8
197,9
198,8
199,0
200,3
201,7
202,4
203,4
204,2
205,4
206,9
207,0
208,4
209,5
210,9
211,6
212,4
213,9
214,2
215,1
216,0
217,9
218,0
219,5
220,7
221,0
222,9
223,1
224,0
225,1
226,3
227,7
228,0
229,8
230,6
231,1
232,5
233,8
234,8
235,1
236,5
237,9
238,8
239,2
240,1
241,3
242,3
243,5
244,4
245,6
246,2
247,7
248,8
249,9
250,1
251,1
252,3
253,3
254,1
255,7
256,6
257,1
258,8
259,7
260,0
261,8
262,7
263,6
264,4
265,1
266,1
267,9
268,2
269,2
270,1
271,7
272,4
273,4
274,8
275,2
276,7
277,1
278,8
279,8
280,8
281,2
282,9
283,6
284,0
285,5
286,2
287,1
288,9
289,9
290,0
291,8
292,0
293,3
294,3
295,1
296,9
297,7
298,2
299,9
300,2
301,1
302,5
303,9
304,3
305,4
306,4
307,2
308,6
309,2
310,2
311,7
312,0
313,2
314,6
315,7
316,9
317,7
318,4
319,9
320,4
321,2
322,3
323,7
324,7
325,5
326,9
327,6
328,4
329,9
330,6
331,0
332,3
333,2
334,0
335,3
336,4
337,9
338,3
339,7
340,7
341,0
342,5
343,3
344,5
345,7
346,0
347,7
348,5
349,1
350,0
351,0
352,5
353,0
354,3
355,8
356,0
357,9
358,3
359,7
360,2
361,7
362,7
363,7
364,5
365,9
366,7
367,6
368,0
369,6
370,1
371,3
372,6
373,5
374,6
375,9
376,6
377,4
378,2
379,1
380,2
381,7
382,1
383,6
384,1
385,4
386,5
387,9
388,2
389,3
390,7
391,9
392,4
393,5
394,2
395,7
396,2
397,9
398,6
399,8
400,0
401,7
402,8
403,7
404,6
405,5
406,7
407,7
408,8
409,9
410,6
411,5
412,1
413,2
414,9
415,0
416,9
417,7
418,8
419,6
420,4
421,1
422,3
423,7
424,3
425,3
426,9
427,7
428,5
429,9
430,4
431,3
432,9
433,8
434,5
435,1
436,0
437,3
438,3
439,5
440,8
441,2
442,2
443,8
444,6
445,1
446,4
447,5
448,7
449,2
450,0
451,8
452,0
453,4
454,6
455,3
456,1
457,4
458,6
459,4
460,9
461,4
462,5
463,8
464,8
465,6
466,3
467,9
468,6
469,9
470,3
471,4
472,6
473,5
474,7
475,1
476,2
477,0
478,2
479,4
480,6
481,7
482,5
483,3
484,0
485,1
486,0
487,3
488,7
489,1
490,5
491,6
492,8
493,3
494,0
495,4
496,9
497,0
498,7
499,7
500,1
501,7
502,6
503,9
504,8
505,9
506,8
507,3
508,7
509,7
510,8
511,9
512,1
513,7
514,1
515,8
516,9
517,4
518,1
519,0
520,6
521,2
522,2
523,7
524,5
525,0
526,4
527,8
528,1
529,1
530,4
531,2
532,0
533,3
534,6
535,7
536,1
537,9
538,4
539,4
540,6
541,5
542,6
543,9
544,0
545,3
546,1
547,7
548,4
549,3
550,3
551,5
552,1
553,4
554,2
555,6
556,0
557,1
558,9
559,8
560,4
561,1
562,3
563,9
564,5
565,0
566,4
567,1
568,8
569,6
570,3
571,4
572,5
573,4
574,4
575,1
576,5
577,5
578,2
579,9
580,0
581,0
582,4
583,1
584,5
585,1
586,4
587,6
588,7
589,3
590,3
591,0
592,2
593,1
594,3
595,3
596,0
597,8
598,7
599,3
600,4
601,3
602,3
603,3
604,0
605,8
606,5
607,1
608,4
609,2
610,8
611,1
612,8
613,0
614,4
615,6
616,3
617,6
618,7
619,7
620,9
621,3
622,3
623,4
624,0
625,9
626,5
627,9
628,1
629,3
630,6
631,1
632,7
633,9
634,4
635,2
636,2
637,9
638,7
639,5
640,1
641,6
642,4
643,9
644,1
645,5
646,7
647,0
648,7
649,1
650,1
651,9
652,7
653,7
654,1
655,9
656,9
657,6
658,1
659,1
660,2
661,5
662,1
663,2
664,8
665,3
666,4
667,0
668,7
669,9
670,9
671,4
672,8
673,1
674,9
675,3
676,4
677,2
678,0
679,1
680,2
681,2
682,7
683,3
684,3
685,0
686,5
687,3
688,2
689,0
690,5
691,0
692,0
693,8
694,9
695,8
